Nazwa;"ogółem;"
DOLNOŚLĄSKIE;1393074
KUJAWSKO-POMORSKIE;976439
LUBELSKIE;986950
LUBUSKIE;478715
ŁÓDZKIE;1141072
MAŁOPOLSKIE;1664051
MAZOWIECKIE;2639416
OPOLSKIE;458694
PODKARPACKIE;1021087
PODLASKIE;559008
POMORSKIE;1146483
ŚLĄSKIE;2106002
ŚWIĘTOKRZYSKIE;578198
WARMIŃSKO-MAZURSKIE;671486
WIELKOPOLSKIE;1700978
ZACHODNIOPOMORSKIE;801264
