Nazwa;"ogółem;"
DOLNOŚLĄSKIE;1504663
KUJAWSKO-POMORSKIE;1041281
LUBELSKIE;1051349
LUBUSKIE;506772
ŁÓDZKIE;1253874
MAŁOPOLSKIE;1766319
MAZOWIECKIE;2873378
OPOLSKIE;489889
PODKARPACKIE;1064845
PODLASKIE;589712
POMORSKIE;1212243
ŚLĄSKIE;2269945
ŚWIĘTOKRZYSKIE;609495
WARMIŃSKO-MAZURSKIE;703213
WIELKOPOLSKIE;1799052
ZACHODNIOPOMORSKIE;848757
